episode,return,max_tile,steps,eps_or_alpha,loss_or_td_error,wallclock_s
431,2542.0,1024,847,0.1,15.79445,118.4
432,681.0,256,250,0.1,12.97354,119.2
433,552.0,128,204,0.1,13.79135,119.4
434,1130.0,256,395,0.1,13.049,120.4
435,829.0,256,298,0.1,14.64421,120.5
436,1371.0,512,470,0.1,14.5031,120.8
437,1250.0,512,433,0.1,12.85513,121.0
438,738.0,256,265,0.1,11.54257,121.3
439,606.0,128,223,0.1,15.05443,121.5
440,763.0,256,276,0.1,9.87164,121.6
441,624.0,256,227,0.1,12.98902,121.7
442,879.0,256,314,0.1,11.40136,121.9
443,893.0,256,313,0.1,13.89414,122.1
444,1113.0,512,384,0.1,14.28374,122.6
445,786.0,256,279,0.1,13.6397,122.7
446,939.0,256,334,0.1,14.48086,122.9
447,814.0,256,290,0.1,13.41156,123.0
448,2182.0,1024,736,0.1,14.70729,123.4
449,1743.0,1024,593,0.1,14.26961,123.6
450,1163.0,256,405,0.1,15.01071,123.9
451,786.0,256,278,0.1,14.23588,124.2
452,1009.0,256,354,0.1,14.4386,124.5
453,1230.0,512,426,0.1,13.93363,124.8
454,569.0,128,212,0.1,11.43592,125.1
455,752.0,128,273,0.1,15.56697,125.2
456,675.0,256,244,0.1,14.05256,125.5
457,989.0,256,345,0.1,15.15781,125.8
458,1129.0,256,394,0.1,13.33974,126.0
459,1044.0,512,365,0.1,13.81266,126.2
460,1640.0,512,563,0.1,14.33104,126.4
461,1406.0,512,478,0.1,13.89342,126.6
462,623.0,256,227,0.1,14.1203,126.7
463,670.0,128,244,0.1,13.32567,126.8
464,589.0,256,218,0.1,13.52122,126.9
465,1130.0,512,392,0.1,15.98707,127.0
466,754.0,256,271,0.1,14.87151,127.1
467,769.0,256,275,0.1,13.8641,127.2
468,683.0,256,250,0.1,13.29286,127.3
469,885.0,256,313,0.1,13.24747,127.4
470,1114.0,512,386,0.1,14.29364,127.6
471,840.0,256,302,0.1,17.29298,127.7
472,865.0,256,305,0.1,16.93389,127.8
473,717.0,256,257,0.1,13.64046,127.9
474,1714.0,512,585,0.1,14.55602,128.1
475,1480.0,512,513,0.1,14.12087,128.3
476,1309.0,512,453,0.1,14.12573,128.8
477,897.0,256,316,0.1,14.71021,129.3
478,431.0,128,163,0.1,13.38868,129.4
479,1381.0,512,473,0.1,15.2962,129.6
480,777.0,256,280,0.1,15.9016,129.7
481,1553.0,512,529,0.1,14.22457,129.9
482,1233.0,512,429,0.1,14.81606,130.1
483,810.0,256,285,0.1,14.22321,130.6
484,1043.0,256,366,0.1,13.38221,132.9
485,755.0,256,271,0.1,14.45578,133.1
486,644.0,256,234,0.1,16.17911,133.3
487,1291.0,512,449,0.1,14.70005,134.0
488,2285.0,1024,770,0.1,14.62568,135.0
489,2522.0,1024,841,0.1,15.05714,135.9
490,1180.0,512,410,0.1,14.24068,136.6
491,1205.0,512,417,0.1,15.48752,136.8
492,586.0,256,212,0.1,17.07913,136.9
493,1127.0,512,392,0.1,14.08889,137.1
494,1056.0,256,371,0.1,14.76948,137.4
495,1058.0,256,371,0.1,14.65689,139.2
496,1265.0,512,439,0.1,15.49618,139.7
497,819.0,256,293,0.1,13.38821,140.0
498,577.0,256,211,0.1,15.3346,140.2
499,871.0,256,308,0.1,15.35889,140.4
500,1173.0,256,407,0.1,14.61624,140.6
